# VulnTrends — Vulnerabilities discovered (monthly)
# Generated: 2026-07-22T18:11:15.020Z
# Total records: 55879
# Records per source: mozilla=1104, chrome=1467, msrc=26737, apple=5790, projectzero=0, pan=25, fortinet=716, cisco=0, adobe=12, nvd=32985, osv=0
# Source: https://vulntrends.org
#date,manufacturer,count
2017-06,Fortinet,1
2017-06,Microsoft,102
2017-06,Mozilla,31
2017-06,Oracle,5
2017-06,Samsung,2
2017-07,Adobe,6
2017-07,Apple,34
2017-07,Cisco,41
2017-07,Fortinet,1
2017-07,Microsoft,60
2017-07,Oracle,4
2017-08,Adobe,80
2017-08,Apple,1
2017-08,Cisco,32
2017-08,Fortinet,1
2017-08,Microsoft,51
2017-08,Mozilla,16
2017-08,Oracle,241
2017-09,Cisco,23
2017-09,Microsoft,82
2017-09,Mozilla,18
2017-09,Oracle,1
2017-10,Adobe,1
2017-10,Apple,31
2017-10,Cisco,23
2017-10,Fortinet,3
2017-10,Microsoft,63
2017-10,Oracle,183
2017-11,Apple,16
2017-11,Cisco,58
2017-11,Fortinet,2
2017-11,Microsoft,53
2017-11,Mozilla,17
2017-11,Oracle,6
2017-12,Adobe,95
2017-12,Apple,8
2017-12,Cisco,1
2017-12,Fortinet,3
2017-12,Microsoft,34
2017-12,Mozilla,5
2017-12,Oracle,5
2017-12,Palo Alto,1
2017-12,Samsung,2
2018-01,Adobe,1
2018-01,Cisco,20
2018-01,Microsoft,60
2018-01,Mozilla,34
2018-01,Oracle,169
2018-02,Adobe,44
2018-02,Apple,1
2018-02,Cisco,25
2018-02,Fortinet,2
2018-02,Microsoft,55
2018-02,Oracle,11
2018-02,Samsung,1
2018-03,Apple,1
